[2024-10-26 16:56:03,457] [WARNING] [credit_score_agent] The kwargs={'task_deadline': 240.0, 'api_keys_json': [['TALENT-PROTOCOL-API-KEY', 'cc18e7a77a537ccdb8b8a5792e5dfb934a1dd2019ef35f6c3d2539666458']], 'polling_interval': 30.0, 'agent_index': 0, 'num_agents': 4, 'from_block_range': 50000, 'timeout_limit': 3, 'max_block_window': 500, 'multisend_batch_size': 50, 'ipfs_address': 'https://gateway.autonolas.tech/ipfs/', 'service_endpoint_base': 'https://demo.staging.autonolas.tech/'} passed to params have not been set!
[2024-10-26 16:56:03,638] [INFO] [credit_score_agent] HTTP Server has connected to port: 8000.
[2024-10-26 16:56:04,257] [INFO] [credit_score_agent] Connecting to libp2p node acn.staging.autonolas.tech:9005. Attempt 1
[2024-10-26 16:56:08,113] [INFO] [credit_score_agent] Successfully connected to libp2p node acn.staging.autonolas.tech:9005
[2024-10-26 16:56:08,116] [INFO] [credit_score_agent] Entered in the 'registration_startup_round' round for period 0
[2024-10-26 16:56:08,118] [INFO] [credit_score_agent] Start processing messages...
[2024-10-26 16:56:08,118] [INFO] [credit_score_agent] Entered in the 'registration_startup_behaviour' behaviour
[2024-10-26 16:56:08,119] [INFO] [credit_score_agent] Synchronizing with Tendermint...
[2024-10-26 16:56:23,161] [ERROR] [credit_score_agent] Could not synchronize with Tendermint!
[2024-10-26 16:56:23,162] [INFO] [credit_score_agent] Synchronizing with Tendermint...
[2024-10-26 16:56:38,198] [ERROR] [credit_score_agent] Could not synchronize with Tendermint!
[2024-10-26 16:56:38,199] [INFO] [credit_score_agent] Synchronizing with Tendermint...
[2024-10-26 16:56:38,207] [INFO] [credit_score_agent] local height == remote == 0; Synchronization complete.
[2024-10-26 16:56:38,208] [INFO] [credit_score_agent] Sharing Tendermint config on start-up?: False
[2024-10-26 16:56:38,879] [WARNING] [credit_score_agent] Slashing has not been enabled!
[2024-10-26 16:56:38,880] [INFO] [credit_score_agent] 'registration_startup_round' round is done with event: Event.DONE
[2024-10-26 16:56:38,881] [INFO] [credit_score_agent] Entered in the 'hello_round' round for period 0
[2024-10-26 16:56:38,884] [INFO] [credit_score_agent] Entered in the 'hello_behaviour' behaviour
[2024-10-26 16:56:38,884] [INFO] [credit_score_agent] Hello world!
[2024-10-26 16:56:39,993] [INFO] [credit_score_agent] 'hello_round' round is done with event: Event.DONE
[2024-10-26 16:56:39,993] [INFO] [credit_score_agent] Entered in the 'collect_talent_protocol_score_round' round for period 0
[2024-10-26 16:56:39,996] [INFO] [credit_score_agent] Entered in the 'collect_talent_protocol_score_behaviour' behaviour
[2024-10-26 16:56:40,700] [INFO] [credit_score_agent] Got talent_protocol_score from talent_protocol_score_response: 28
[2024-10-26 16:56:41,082] [INFO] [credit_score_agent] 'collect_talent_protocol_score_round' round is done with event: Event.DONE
[2024-10-26 16:56:41,097] [INFO] [credit_score_agent] Entered in the 'reset_and_pause_round' round for period 0
[2024-10-26 16:56:41,100] [INFO] [credit_score_agent] Entered in the 'reset_and_pause_behaviour' behaviour
[2024-10-26 16:56:44,111] [INFO] [credit_score_agent] HTTP Client has shutdown on port: 8000.
[2024-10-26 16:56:44,111] [INFO] [credit_score_agent] HTTP Server has shutdown on port: 8000.
